model_id,country_iso3,pilot_id,slot_id,domain,task,language,replicate_idx,venue,latency_ms,prompt_tokens,response_tokens,finish_reason,primary_task_score,factual_accuracy,contextual_completeness,citation_quality,calibration,absence_of_hallucination,composite
claude_haiku,BRA,BRA_P01,P01,D1,T1,en,0,anthropic_paid,2058,51,103,end_turn,1.0,1.0,0.5,0.5,0.5,1.0,0.725
claude_haiku,BRA,BRA_P01,P01,D1,T1,en,1,anthropic_paid,1634,51,92,end_turn,1.0,1.0,0.5,0.5,0.5,1.0,0.725
claude_haiku,BRA,BRA_P02,P02,D3,T1,en,0,anthropic_paid,3527,47,279,end_turn,1.0,1.0,0.5,0.5,0.5,1.0,0.725
claude_haiku,BRA,BRA_P02,P02,D3,T1,en,1,anthropic_paid,3599,47,289,end_turn,1.0,1.0,0.5,0.5,0.5,1.0,0.725
claude_haiku,BRA,BRA_P03,P03,D1,T2,en,0,anthropic_paid,3452,47,246,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
claude_haiku,BRA,BRA_P03,P03,D1,T2,en,1,anthropic_paid,3622,47,257,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
claude_haiku,BRA,BRA_P04,P04,D2,T2,en,0,anthropic_paid,2994,66,241,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
claude_haiku,BRA,BRA_P04,P04,D2,T2,en,1,anthropic_paid,3364,66,240,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
claude_haiku,BRA,BRA_P05,P05,D1,T3,en,0,anthropic_paid,3745,49,309,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
claude_haiku,BRA,BRA_P05,P05,D1,T3,en,1,anthropic_paid,3521,49,307,end_turn,0.8347826086956522,0.8843478260869566,0.8347826086956522,0.4173913043478261,0.5,1.0,0.7616086956521739
claude_haiku,BRA,BRA_P06,P06,D3,T3,en,0,anthropic_paid,3521,50,306,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
claude_haiku,BRA,BRA_P06,P06,D3,T3,en,1,anthropic_paid,3653,50,306,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
claude_haiku,BRA,BRA_P07,P07,D1,T4,en,0,anthropic_paid,4892,66,483,end_turn,0.79,0.853,0.395,0.79,0.5,1.0,0.6981499999999999
claude_haiku,BRA,BRA_P07,P07,D1,T4,en,1,anthropic_paid,4749,66,439,end_turn,0.79,0.853,0.395,0.79,0.5,1.0,0.6981499999999999
claude_haiku,BRA,BRA_P08,P08,D3,T4,en,0,anthropic_paid,4092,43,361,end_turn,0.5951282051282052,0.7165897435897436,0.2975641025641026,0.5951282051282052,0.5,1.0,0.6036371794871794
claude_haiku,BRA,BRA_P08,P08,D3,T4,en,1,anthropic_paid,8091,43,400,end_turn,0.4925641025641026,0.6447948717948717,0.2462820512820513,0.4925641025641026,0.5,1.0,0.5538935897435897
claude_haiku,BRA,BRA_P09,P09,D2,T5,en,0,anthropic_paid,2204,67,150,end_turn,0.65,0.7549999999999999,0.325,0.325,0.65,1.0,0.604
claude_haiku,BRA,BRA_P09,P09,D2,T5,en,1,anthropic_paid,2431,67,160,end_turn,0.65,0.725,0.325,0.325,0.65,0.9,0.5800000000000001
claude_haiku,BRA,BRA_P10,P10,D1,T5,en,0,anthropic_paid,2327,56,129,end_turn,1.0,1.0,0.5,0.5,1.0,1.0,0.8
claude_haiku,BRA,BRA_P10,P10,D1,T5,en,1,anthropic_paid,4267,56,189,end_turn,1.0,1.0,0.5,0.5,1.0,1.0,0.8
claude_haiku,NGA,NGA_P01,P01,D1,T1,en,0,anthropic_paid,1249,51,68,end_turn,1.0,1.0,0.5,0.5,0.5,1.0,0.725
claude_haiku,NGA,NGA_P01,P01,D1,T1,en,1,anthropic_paid,1933,51,61,end_turn,1.0,1.0,0.5,0.5,0.5,1.0,0.725
claude_haiku,NGA,NGA_P02,P02,D3,T1,en,0,anthropic_paid,3297,47,264,end_turn,0.8484848484848485,0.8484848484848485,0.42424242424242425,0.42424242424242425,0.5,0.9,0.6342424242424243
claude_haiku,NGA,NGA_P02,P02,D3,T1,en,1,anthropic_paid,4185,47,332,end_turn,0.8484848484848485,0.8484848484848485,0.42424242424242425,0.42424242424242425,0.5,0.9,0.6342424242424243
